feat,importance
l_99_butterscotch_mini,8.190726703207674e-08
l_99_cherries,4.062468820133684e-06
l_99_cherries_mini,2.529203652398264e-07
l_99_chocolate_mini,0.0
l_99_cinnamon,1.8104327988742673e-05
l_99_cinnamon_mini,4.036851614999397e-06
l_99_fruits_mini,2.2678471672112045e-05
l_99_grapes,1.5193674802029115e-05
l_99_grapes_pet_mini,1.1307998744740692e-05
l_99_lemon_lime,8.111424299242106e-08
l_99_lemon_lime_mini,3.1892377512815505e-06
l_99_long_island_iced_tea_mini,0.0
l_99_mangoes,8.59126921623401e-06
l_99_mangoes_mini,2.321237145971459e-06
l_99_oranges,0.0
l_99_oranges_mini,4.612098409536428e-07
l_99_party_bucket_minis,3.2579492398417166e-05
l_99_peaches,3.291551470662229e-05
l_99_peaches_pet_mini,1.399109767557262e-05
l_99_peanut_butter_whiskey_mini,5.1564948630575984e-06
l_99_peppermint,3.8335555761293273e-05
l_99_peppermint_mini,2.5637869214223874e-05
l_99_pickle_mini,3.5027071148050236e-06
l_99_pineapple,7.864590609680921e-05
l_99_pineapple_mini,1.2914728076381394e-05
l_99_pink_lemonade_mini,2.1480034412495014e-05
l_99_punches_variety_mini,1.6405972731764626e-05
l_99_rainbow_pack_mini,1.69418570893697e-07
l_99_root_beer,5.480200043459993e-06
l_99_root_beer_mini,2.581709002333228e-05
l_99_salted_caramel_mini,7.881794309820855e-06
l_99_sour_apple_mini,3.1816775782247273e-06
l_99_sour_berry_mini,7.713122470454699e-06
l_99_sour_cherry_mini,3.790709128887803e-06
l_99_strawberries_mini,9.535365391182317e-05
l_99_toasted_flavorites_mini,8.10708127013291e-07
l_99_watermelon_pet_mini,7.034266608872458e-06
l_99_watermelon_schnapps,0.0
l_99_whipped,0.0
l_99_whipped_mini,0.0
l_99_whiskey_mini,0.0
l_99_xxpresso_mini,0.0
l_a_overholt_rye_whiskey,1.0556077071833466e-08
l_aalborg_jubilaeums_aquavit,0.0
l_aberfeldy_12yr,2.0308182880343853e-05
l_aberlour_12yr,1.3937185174798716e-05
l_aberlour_16yr,0.0
l_aberlour_18yr,0.0
l_aberlour_a_bunadh,0.0
l_aberlour_abunadh_alba,0.0
l_absente,3.812954262590154e-05
l_absinthia_absinthe_barrel_aged,0.0
l_absinthia_absinthe_blanche,3.425185133994375e-08
l_absinthia_absinthe_verte,0.0
l_absolut_apeach,0.0004819642860647098
